id,label
1,horse
2,dog
3,deer
4,frog
5,truck
6,truck
7,cat
8,truck
9,truck
10,frog
11,ship
12,horse
13,cat
14,frog
15,dog
16,airplane
17,bird
18,horse
19,bird
20,truck
21,deer
22,automobile
23,deer
24,automobile
25,deer
26,horse
27,horse
28,deer
29,deer
30,frog
31,frog
32,truck
33,horse
34,horse
35,cat
36,truck
37,horse
38,deer
39,ship
40,horse
41,bird
42,frog
43,frog
44,truck
45,horse
46,deer
47,deer
48,automobile
49,automobile
50,deer
51,airplane
52,deer
53,horse
54,ship
55,ship
56,ship
57,deer
58,bird
59,airplane
60,horse
61,deer
62,deer
63,horse
64,bird
65,cat
66,deer
67,deer
68,horse
69,horse
70,truck
71,bird
72,deer
73,deer
74,automobile
75,deer
76,dog
77,bird
78,deer
79,horse
80,deer
81,bird
82,truck
83,bird
84,truck
85,deer
86,horse
87,horse
88,deer
89,automobile
90,horse
91,deer
92,ship
93,frog
94,deer
95,cat
96,deer
97,bird
98,bird
99,automobile
100,bird
101,horse
102,horse
103,deer
104,automobile
105,horse
106,frog
107,cat
108,deer
109,dog
110,horse
111,truck
112,horse
113,deer
114,deer
115,frog
116,horse
117,automobile
118,horse
119,truck
120,horse
121,horse
122,horse
123,truck
124,deer
125,cat
126,horse
127,horse
128,deer
129,deer
130,horse
131,frog
132,deer
133,automobile
134,horse
135,horse
136,truck
137,frog
138,horse
139,deer
140,frog
141,truck
142,deer
143,deer
144,deer
145,automobile
146,deer
147,deer
148,truck
149,horse
150,deer
151,automobile
152,cat
153,deer
154,deer
155,truck
156,horse
157,frog
158,deer
159,dog
160,horse
161,frog
162,automobile
163,deer
164,deer
165,bird
166,deer
167,deer
168,deer
169,deer
170,bird
171,cat
172,deer
173,cat
174,dog
175,horse
176,cat
177,deer
178,deer
179,horse
180,deer
181,truck
182,deer
183,deer
184,cat
185,ship
186,automobile
187,dog
188,automobile
189,deer
190,ship
191,deer
192,ship
193,airplane
194,deer
195,deer
196,deer
197,horse
198,frog
199,bird
200,automobile
201,automobile
202,deer
203,bird
204,horse
205,bird
206,cat
207,deer
208,horse
209,automobile
210,cat
211,deer
212,truck
213,truck
214,dog
215,deer
216,horse
217,horse
